"symbol","d1","d7","d30","runup","bars","price"
"1000000BOBUSDT","-0.1","-12","-13.5","39","31","0.01398"
"LAUSDT","-1.6","12.9","-1.6","131.1","31","0.06203"
"HOMEUSDT","1.2","-10.7","-68.8","87.2","31","0.005678"
"RESOLVUSDT","-0.7","-16.6","-17.7","39.2","31","0.01608"
"TAIKOUSDT","-1.9","-10.3","3.6","747.2","31","0.0694"
"SQDUSDT","-0.5","-10.1","-12.2","18.9","31","0.02994"
"PUMPBTCUSDT","-0.6","-3.3","1.6","71.4","31","0.00896"
"SPKUSDT","0.9","-5.9","-5.6","15","31","0.0163"
"MYXUSDT","-1","-16.8","-34.7","42.9","31","0.06689"
"FUSDT","0.3","-8.6","-10.1","22.8","31","0.003011"
"NEWTUSDT","-0.3","-8.9","-14.9","14.3","31","0.04142"
"HUSDT","1.4","12","-7.6","62.9","31","0.06677"
"SAHARAUSDT","-1","-13.7","-28.1","12.9","31","0.00786"
"ICNTUSDT","-0.3","-15","-31.3","32","31","0.1458"
"BULLAUSDT","-0.3","67.3","206","243","31","0.018872"
"IDOLUSDT","-2.2","5.2","-25","89.9","31","0.01624"
"MUSDT","-0.9","-0.3","92.5","245.5","31","1.1314"
"PUMPUSDT","-0.8","2.1","29.4","61.1","31","0.001949"
"CROSSUSDT","-2.3","12.4","-1.9","53.9","31","0.08302"
"AINUSDT","-1.3","-7.4","2.3","48.2","31","0.07994"
"CUSDT","-0.1","-14.7","-26.1","20","31","0.05526"
"VELVETUSDT","0.5","-22.6","-75.3","240.2","31","0.397"
"TACUSDT","-0.7","-7.7","-94.9","1255.9","31","0.003085"
"ERAUSDT","-0.5","-29.8","-16","128.1","31","0.06813"
"TAUSDT","0.5","-10.4","-13","57.5","31","0.06446"
"CVXUSDT","-0.2","9.2","23.7","37","31","1.361"
"SLPUSDT","-0.3","-7.4","11.3","52.5","31","0.0005133"
"ZORAUSDT","-2.1","-9.1","-19.3","18.4","31","0.005792"
"TAGUSDT","0.2","22.1","30.1","344.6","31","0.001298"
"ESPORTSUSDT","-1.2","-10.5","-4.4","415.4","31","0.02643"
"TREEUSDT","-1","-3.1","-10.9","37.9","31","0.03675"
"PLAYUSDT","-0.6","3.6","21","37.3","31","0.03739"
"NAORISUSDT","-0.4","-10.4","-20.3","50.2","31","0.03143"
"TOWNSUSDT","-1.3","-1.3","8.2","55.2","31","0.002051"
"PROVEUSDT","-0.7","-10.2","-7.7","14.5","31","0.1751"
