"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"BANDUSDT","7.5","05-20 13:00","2188","0.43","0.56","47","-11.5","-20.4",,"0.0072","0.9","0.67","48","-9.8","-20.5",,"0.0058"
"RLCUSDT","11.5","05-28 04:00","2186","1.85","2.58","4","-9.9","-20.4",,"0.0082","2.28","2.26","37","-13.4","-18",,"0.0089"
"SNXUSDT","9.8","05-24 21:00","2172","1.5","0.88","27","-16.9","-20.9",,"0.0039","1.26","1.17","68","-11.9","-16.3",,"0.0056"
"DOTUSDT","7.6","05-21 12:00","2164","0.58","0.71","41","-6.4","-13.3",,"0.0051","0.36","0.58","35","-6.7","-14.5",,"0.0049"
"YFIUSDT","7.9","06-07 20:00","2155","3.93","0.88","64","-26.3","-37.7",,"0.0073","4.94","1.53","22","-30.4","-39.4",,"0.0045"
"CRVUSDT","25.8","06-10 09:00","2154","0.74","0.73","78","-3.9","-29.8",,"0.0027","1.76","0.82","55","-10.9","-32.8",,"0.0018"
"TRBUSDT","6","06-10 21:00","2152","0.52","0.59","19","-23.8","-39.2",,"0.005","0.67","0.59","41","-24.1","-38",,"0.005"
"RUNEUSDT","18.5","06-09 00:00","2151","1.1","0.8","75","-21.7","-45.6",,"0.0011","2.9","0.95","86","-23.2","-45.8",,"-0.0012"
"SUSHIUSDT","19.9","06-02 18:00","2151","1.87","4.1","21","-5.5","-24.7",,"0.0087","1.96","2.87","66","0.4","-21",,"0.0075"
"EGLDUSDT","9","06-06 04:00","2141","3.29","1.7","16","-27.8","-42.2",,"-0.0005","1.48","1.74","3","-26.1","-38.8",,"0.0098"
"SOLUSDT","7.4","06-07 00:00","2141","4.12","1.63","24","-27.6","-36.8",,"-0.0143","4.18","2.16","21","-24.6","-35.3",,"-0.0125"
"ICXUSDT","10.4","06-12 00:00","2140","0.59","0.45","74","-20.1","-30",,"0.005","0.88","0.5","18","-22.1","-32.9",,"0.005"
"STORJUSDT","28.8","05-15 00:00","2139","0.17","0.11","62","41.1","-26.4",,"0.0048","0.18","0.14","16","37.6","-27.9",,"0.005"
